entity:participant_id	analysis_ready_bam	analysis_ready_bam_index	analysis_ready_bam_md5	output_vcf	output_vcf_index	Phenotype	PN	POP	NO	SpecNo	Species	Site	SiteName	Lat	Long	Date	SL	Sex	EOD_FILE	Notes	set_of_unaligned_bams	stage1_gvcf	stage1_gvcf_index	unaligned_bam_list
BEN_704						TP	BEN_704	BEN	704	MSU-704	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	135	Male*	PKING-704.mat					
BEN_705						TP	BEN_705	BEN	705	MSU-705	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	110	Male*	PKING-705.mat					
BEN_706						TP	BEN_706	BEN	706	MSU-706	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	75	Male*	PKING-706.mat					
BEN_707						TP	BEN_707	BEN	707	MSU-707	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	110	Male*	PKING-707.mat					
BEN_708						TP	BEN_708	BEN	708	MSU-708	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	94	Male*	PKING-708.mat					
BEN_713						TP	BEN_713	BEN	713	MSU-713	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	90	Female	PKING-713.mat					
BEN_715						TP	BEN_715	BEN	715	MSU-715	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	100	Male	PKING-715.mat					
BEN_717						TP	BEN_717	BEN	717	MSU-717	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	90	Male	PKING-717.mat					
BEN_718						TP	BEN_718	BEN	718	MSU-718	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	98	Female	PKING-718.mat					
BEN_719						TP	BEN_719	BEN	719	MSU-719	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	86	Male	PKING-719.mat					
BEN_721						TP	BEN_721	BEN	721	MSU-721	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	93	Male	PKING-721.mat					
BEN_722						TP	BEN_722	BEN	722	MSU-722	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	64	Male	PKING-722.mat					
BEN_723						TP	BEN_723	BEN	723	MSU-723	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	62	Male	PKING-723.mat					
BEN_724						TP	BEN_724	BEN	724	MSU-724	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	68	Female	PKING-724.mat					
BEN_725						TP	BEN_725	BEN	725	MSU-725	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	75	Female	PKING-725.mat					
BEN_726						TP	BEN_726	BEN	726	MSU-726	Paramormyrops kingsleyae	2023-017	Bengue Creek	-2.22569	11.457525	6/26/23	74	Female	PKING-726.mat					
BIK_6898						BP	BIK_6898	BIK	6898	CU-6898	Paramormyrops kingsleyae	2009-031	Bikagala Creek	-2.195633333	11.56141667	8/15/09	131	Male	PKING_N_6898.mat					
BIK_6899						BP	BIK_6899	BIK	6899	CU-6899	Paramormyrops kingsleyae	2009-031	Bikagala Creek	-2.195633333	11.56141667	8/15/09	102.5	Male	PKING_N_6899.mat					
BIK_6900						BP	BIK_6900	BIK	6900	CU-6900	Paramormyrops kingsleyae	2009-031	Bikagala Creek	-2.195633333	11.56141667	8/15/09	145	Male	PKING_N_6900.mat					
BIK_6901						BP	BIK_6901	BIK	6901	CU-6901	Paramormyrops kingsleyae	2009-031	Bikagala Creek	-2.195633333	11.56141667	8/15/09	149	Male	PKING_N_6901.mat					
BIK_6902						BP	BIK_6902	BIK	6902	CU-6902	Paramormyrops kingsleyae	2009-031	Bikagala Creek	-2.195633333	11.56141667	8/15/09	130	Male	PKING_N_6902.mat					
BIK_6903						BP	BIK_6903	BIK	6903	CU-6903	Paramormyrops kingsleyae	2009-031	Bikagala Creek	-2.195633333	11.56141667	8/15/09	106	Juvenile / Female	PKING_N_6903.mat					
BIK_6904						BP	BIK_6904	BIK	6904	CU-6904	Paramormyrops kingsleyae	2009-031	Bikagala Creek	-2.195633333	11.56141667	8/15/09	111	Male	PKING_N_6904.mat					
